SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5915062,"    Bowen Island, IM",81,0,0,0,0,120,0,0,0,0,0,0,0,0,25,0,15,362,5,0,488,0,0,0,0,0,40,0,0,0,0,30,0,0,0,0,28,0,0,730,0,0,0,0,50,45,300,0,0,0,0,0,88,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,50,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,1,0,250,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,460,0,12,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,120,300,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,330,0,0,233,0,600,0,0,0,0,0,0,340,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"1,462",250,"10,810",0,0,342,0,0,0,500,0,0,30,20,150,0,150,0,0,28,0,0,20,0,20,20,0,400,20,0,155,0,0,0,0,0
5915025,"    Burnaby, C","6,103",916,"4,844","3,968","3,621","8,335",808,"7,136","3,577","17,097","4,146","11,484","3,775","9,584","6,546","9,005","9,659","7,496","3,792","16,384","5,328","9,624","4,595","9,509","5,779","4,092","6,040","7,809","33,141","4,575","3,253","5,084","14,871","1,340","3,140","3,242","16,775","6,946","21,318","10,496","55,062","9,750","6,289","24,612","15,300","11,178","4,472","4,588","11,685","6,626","5,689","2,069","18,257","37,290","15,794","44,814","10,832","22,009","3,803","1,289","5,177","13,819","6,375","10,574","3,489","76,886","18,500","49,025","6,734","109,699","11,811","10,407",0,"8,603","5,666","1,209","10,994","2,775","4,399","3,802","10,290","26,283","1,418","12,325","7,612","34,077","26,023","2,890","4,236","4,740","6,380","3,451","13,309","3,757","5,899","10,560","4,898","7,080","35,670","2,012","5,444","5,394","4,536","25,069","3,072","2,536","10,640","37,104","5,032","6,446","5,703","3,143","7,737","4,564","3,371","14,964","4,068","11,032","8,090","2,110","6,680","19,832","19,862","6,327","3,413","10,422","6,806","4,138","31,284","3,696","14,804","8,131","4,717","8,840","35,018","9,333","14,125","11,769","11,662","4,919","23,810","6,469","4,905","36,895","1,577","8,580","6,458","87,054","8,536","15,933","7,645","12,991","10,249","7,677","3,796","126,998","7,600","5,900","5,045","6,989","5,800","18,148","13,956","13,077","12,825","7,792","4,869","40,968","32,779","8,163","18,304","13,415","31,275","5,228","6,221","26,314","30,507","4,475","6,079","10,176","5,210","13,765","9,458","2,257","15,121","32,016","9,423","9,922","19,397","63,224","13,593","19,084","18,965","4,910","109,121","37,081","12,719","5,275","7,902","17,520","39,822","43,031","29,170","16,990","18,690","14,603","16,971","7,864","2,603","16,480","24,871","20,705","5,761","14,694","109,276","95,705","4,288","33,925","8,637","11,308","1,324","9,567","39,458","24,200","13,815","24,835","19,495","94,559","4,399","15,902","39,537","4,948","133,625","78,590","10,059","27,768","4,845","80,418","22,675","186,005","12,322","7,913","32,459","9,454","10,449","31,007","16,316","26,787","2,495","13,859","9,493","35,721","19,239","6,247","36,991","45,059","9,863","9,004","23,751","10,219","16,601","17,950","52,138","16,447","19,077"
5915034,"    Coquitlam, C","1,118","1,617","1,678","2,005","2,989","2,292","5,271","1,735","1,905","2,197","1,521","1,162",151,"2,015","2,332","1,391","1,870","5,833","4,170","7,196","5,633","8,114",679,"2,678","1,990","10,303","20,506","2,580","1,152","49,971","2,418",828,"4,840","1,751",327,20,377,"10,485","1,628",267,"4,374","1,313",917,650,562,"1,369",283,"1,935","6,638","1,028","2,264",493,"1,005","6,857",815,290,"12,290","2,809","1,659","12,706",140,"1,224","7,537","1,227",868,222,692,791,"2,185","1,128","45,084",485,"1,260","2,582","4,829","1,032","10,284","2,887",645,"2,621","2,136",648,"2,136","1,652",750,"1,417",521,"2,856","1,211",440,"3,166","2,562","2,086","1,355",927,543,"6,647","1,006","1,007","4,440","1,448","2,277","24,251","1,208","5,183","3,027",437,793,727,"1,951","2,000","1,767","1,131","2,968","4,367","4,590","5,833","1,990",402,696,357,"5,871",494,861,"1,116",860,"6,060",969,803,"3,360","3,234",512,744,"11,075","1,724",812,492,"3,207","4,721","8,046","1,360","1,095",768,530,555,"1,591","2,269",226,666,790,"1,734","2,171","2,062","1,134","1,680","2,774","4,324","18,415","1,900","1,668","3,682","1,070",613,"10,492","4,881","3,144",560,"1,810","5,296","1,181","5,590",964,"18,301","1,434","9,608",607,"4,370","1,071","2,558","5,262","5,360","37,576","3,905","1,794","3,253","1,392","1,456","6,768","5,892","1,578","2,397","1,278","3,694","2,410",983,"8,716",533,"4,930","3,433",461,"1,376","1,477","3,716","6,437","1,004","2,809","1,213",72,251,"1,100","62,829",531,"1,215","4,219","4,632",158,"1,979","21,797","1,756","2,210","2,932","1,383","2,115","4,570",397,"1,050","2,113","1,022","2,813",550,"1,604","3,030","11,509",350,"5,077","5,057","26,346","3,412",274,"34,546","10,758",723,"10,699",75,"24,907","20,129","2,718",487,"8,942","20,572",313,"7,828","2,065",935,"6,945","20,428","7,857","2,619","11,087","2,625","2,025","4,444","5,515","1,665",912
5915011,"    Delta, DM","9,700","1,350","1,827","1,263",854,800,"1,115",534,638,247,"1,801","1,009",814,"1,492",0,"3,108",40,266,"1,035",540,"2,415","5,573","4,334",769,"2,335",276,179,"1,602","3,514",285,"2,096",708,194,"1,155","1,527","1,200",0,"1,876","1,060","3,350","1,188","1,023","1,664",81,312,712,324,"3,421","5,258",400,"1,882","1,539","1,415",465,415,544,375,595,"1,760",963,"1,128",139,"1,000",75,"1,501",0,801,"3,112","1,114","1,362","3,150",123,303,4,"15,825",187,112,"1,260",788,50,"1,595","1,635","6,201",191,655,"2,815","2,475",950,359,"2,998","6,097",484,71,"1,138",928,"2,200","2,072",500,"1,373",0,125,"3,832",405,790,0,"1,060",538,525,115,"4,612",245,"3,559","3,090","8,061",283,"1,260",612,"6,181",348,300,492,15,165,366,619,359,"2,971","1,191","1,000","22,208","12,349",23,423,357,106,747,136,141,"2,528","10,541","2,575","2,213","5,123","1,536","1,575",115,267,749,914,"12,004","1,057","1,730","1,737","2,413",110,"1,018",150,"1,085","3,185","4,271","2,075","30,508","1,885",712,591,"30,446",630,190,476,539,250,"6,356",399,357,"3,520","3,200","1,503","10,888","10,602","16,630","18,508","1,352",830,"2,174","5,846",85,788,0,"1,027",216,"9,789","1,345","6,877",0,"4,439","2,550","4,761","4,476","1,315","12,050","5,665",399,"4,077",363,"5,225","50,170",750,"3,846","13,595",114,460,40,125,30,"1,710",302,200,176,699,"4,706","31,180",435,"1,108","5,958","4,105","3,464","2,381","2,044",930,"1,449",758,"8,612","1,835",355,"4,053",639,586,"2,500",791,"7,234",625,841,"10,377",913,"4,783","103,005","2,363","2,273","3,410","1,948","1,889",0,0,0,0,0,0,0,0,0,0,0,0,0,0
5915002,"    Langley, C",512,0,15,"1,270","6,041",0,129,65,"1,317",222,178,0,0,122,145,19,"25,571",703,"2,794",12,33,906,1,129,430,562,"2,127",518,20,65,596,137,231,70,175,150,0,215,129,"2,938","2,151",90,"2,845",190,113,0,"1,815",419,0,232,0,500,598,"1,535",277,276,126,38,16,12,200,20,"3,880",95,0,372,"9,597",790,0,260,27,267,0,4,242,113,65,149,0,92,697,574,222,87,159,"1,235","2,308",722,0,475,"1,358",428,"4,472",123,"10,212",34,"4,150",30,165,41,403,910,933,81,50,178,758,"6,143",132,224,"1,263",368,"3,363",344,"1,967",658,459,727,"14,192",372,537,0,76,139,327,240,324,"2,652",286,"1,968","8,571",325,83,574,"2,832","3,012",172,"8,041",878,108,360,784,443,"8,581","1,139",741,855,"1,834","1,335","3,495","1,565",472,732,322,160,354,412,130,172,"3,404","2,894","2,127","1,538",316,845,54,373,23,848,132,"1,071",40,"1,625",793,948,"1,584",648,781,421,123,"2,632",274,"13,421","7,332",955,"1,440",493,"4,590",362,903,485,"3,816",496,176,759,225,431,"1,554","3,658","4,444",143,434,"2,185",47,0,"1,426",512,"1,020",135,203,775,"3,010",616,30,144,61,630,830,"1,190","1,328",280,675,100,"3,100",105,85,"2,020",449,0,153,"1,895",53,8,0,10,44,540,"5,607",300,56,55,150,60,0,"1,027",225,768,"6,148",301,110,135,"1,562","1,055",108,60,"1,629","5,003",20,434,0,294,"4,218","2,885","5,420","4,100"
5915001,"    Langley, DM","2,430","1,875","1,283","5,047","1,012","5,930","2,711","1,220","1,220","3,971",806,"2,676","3,363","5,283","2,038","7,597",867,580,"1,899","12,736","8,284","3,297",386,"3,164","1,354","3,202","8,866","12,268","15,039","11,442",291,"3,640","8,292","4,935","7,407","4,110","4,600","7,290","6,861","7,627","7,125","12,017","16,360","40,629","5,653","3,054",746,"2,814","3,999","3,337","9,824","10,669","21,356","5,351","9,890","4,004","9,403","2,742","3,283","16,986","4,486","3,967","1,258","9,648","1,820","1,583","5,976","1,444","61,918","6,052","5,883",394,"10,617","4,116",814,"10,293","21,578","8,244","3,979","1,827",613,"2,917",180,715,"8,230","1,026",992,"3,202","1,579",441,"7,087","2,100","2,775","7,960","5,960","1,480","4,260",704,"3,976","1,138","2,103","3,372","3,734","16,927","2,406","1,297","3,166",268,627,993,"2,052","4,881","1,682","2,510","4,785","24,898","4,215","6,460",574,776,"6,899","8,659","4,545",438,"2,523","8,248","2,731","1,869","3,312","14,024","4,273",734,"3,975","1,142","1,866",528,"1,312","11,320","4,235","2,083","2,145",806,"2,801","8,450","1,910",339,"2,531","1,613","1,301",918,"4,738",966,"1,945","2,908",915,"5,859",889,"2,276","2,513","1,232","1,124","2,365","1,767","11,726","7,967",908,"10,466","2,723","1,090",995,"9,431","6,787","5,740","4,131","3,546","8,946","5,423","11,344","1,999","18,119","18,003",979,150,"2,079","21,647","3,464","6,380","2,219","1,621","10,198","2,125","1,501","6,920","5,605","26,501","9,713","5,307","13,021","15,061","1,830","1,236","5,535","29,756","11,089","53,170","9,406",409,"7,366","1,829","7,786","17,729","1,308","13,619","1,936","5,624","1,029","1,085",820,"46,523","2,505","1,843","8,208","1,988","2,625","14,781","2,720","3,831","19,353","5,029","2,657","6,473","1,727","87,844","4,672","8,169","16,744","8,475","2,991","8,229","3,837","10,861","5,015","6,742","2,359","19,881","42,141","5,232","17,162","5,973","6,070","10,374","9,348","6,445","12,106","5,188","24,970","11,941",350,"3,644","2,518",966,"1,730","1,460","9,659","92,929"
5915065,"    Lions Bay, VL",0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5915075,"    Maple Ridge, DM","2,258","1,026",337,70,"2,494",0,150,"1,017",468,39,174,224,130,171,40,424,720,225,300,"1,600","2,337",958,27,831,190,41,255,160,332,233,"1,315","3,123",417,583,194,23,221,"2,244",123,172,"4,387",840,144,10,"2,062",200,602,324,"1,996",510,38,52,"1,872",984,504,500,858,"7,176",16,420,534,278,655,770,37,238,"1,945",690,128,"3,333",275,"2,133",101,757,478,65,203,117,"2,558","1,096",759,12,15,"1,738",201,888,147,9,"1,430","1,298","1,716",182,824,75,663,252,283,52,369,437,481,"2,192",24,0,"2,040",187,"1,951","1,002",19,279,425,875,663,211,"1,223","7,172",27,845,"1,392",882,200,"16,849",31,20,50,300,238,407,931,"3,048","3,356",903,427,316,"1,123",37,753,"1,877",156,"2,031",230,551,"1,505",379,"1,150",830,302,178,"3,701","2,120",166,"1,840","2,706",401,"1,733",25,448,"5,216",600,209,"1,485",735,595,"4,170",508,491,158,601,64,"2,153",349,"1,323",92,298,"1,199",354,"2,494","1,267","1,816","1,610","2,530",248,87,23,52,300,"3,436","1,360","8,901",145,395,923,260,15,"3,802",330,"9,669","2,053","6,694","4,643",576,"1,525",145,313,"3,647","1,716","4,502",125,"1,800","1,171",211,350,"1,858",290,163,95,784,466,531,348,54,270,742,462,766,817,"1,075",431,0,116,"1,650",110,"3,777","3,141",20,0,390,"4,340","1,395",318,970,18,979,795,700,"12,351","1,827",69,41,385,"1,952",290,73,"1,900",169,"2,500",0,65,167,"1,115","1,623","3,233",384,418,195
5915029,"    New Westminster, C",464,20,40,144,700,147,"7,065",764,323,728,196,206,0,501,0,854,117,105,"4,505",601,"1,546",14,"2,185",535,"2,075",627,"1,786","3,316",85,"10,879",406,502,745,590,40,87,635,42,238,"34,868",777,"2,435","2,799",522,"1,181",345,82,350,"1,831",90,282,"3,796",435,927,972,"8,028","1,008","6,170","1,697",57,"1,414","2,212","3,028","4,306",550,255,835,297,600,408,"8,215","5,128","7,575","10,221",743,856,136,880,800,"1,567",754,545,"2,901","1,145",160,156,"5,954",95,"16,122",290,591,"1,430",459,300,355,"19,280","10,373","1,335","7,084","2,195",583,"4,174","59,382","1,023","4,730","2,129",552,848,618,272,843,484,405,606,"1,815","39,210",520,"11,315","1,131",233,307,"1,452",757,655,"2,707","1,640",277,"5,818",250,"7,340","1,100","1,200","9,346",610,"3,755","2,113",374,710,"3,360",832,"1,801",135,931,735,39,305,"7,837",227,"2,136",508,"1,018","1,629","1,191",520,946,225,563,"1,057",332,740,194,"2,023",615,768,170,925,"2,068","1,596",755,958,"2,820",99,198,"1,120",995,160,878,390,731,425,"6,505",656,"5,282","8,251",132,"1,427",512,199,330,951,146,"3,873","1,281","1,077",80,"1,718","1,865",316,"2,879",99,"6,297",242,175,649,946,442,50,"1,512","1,060",150,"1,971",585,"6,991","5,674",51,23,524,"1,439",250,"80,397","1,264",174,497,85,"2,097",100,"2,201","2,980",843,"1,950",435,885,980,"3,756","1,911","1,375",237,360,351,454,221,508,324,967,"4,134","1,540",355,384,155,25,"2,895",405,"1,072",307,"2,241",308,459,379,"2,748","1,050",421,"3,305",738,"44,524","1,316"
5915051,"    North Vancouver, C",329,"1,716",180,"8,159","3,027",543,690,330,472,323,"2,915","3,590",0,0,75,349,681,"1,824",735,402,616,997,217,590,147,"4,576",898,580,700,666,97,118,185,505,473,296,308,345,862,987,"1,008",906,287,860,390,652,705,"13,831",307,535,678,198,686,689,417,"3,795",852,"1,796","6,649","2,322","1,674",450,652,656,668,"13,912","1,380","9,619","2,135","2,607","1,212","18,296",484,"3,832","3,687",194,"1,148","2,230","2,091",721,"6,754","2,265","1,746",763,502,"1,500","2,385","2,280",474,"4,068",611,"1,790","22,064",785,131,"1,061",823,486,"1,215",449,485,"2,216","4,725","1,130","1,472","7,798","1,066",362,"2,770","1,038",516,"1,361",637,442,470,"1,149","5,292","1,836","1,371","4,666",791,610,189,730,532,310,"1,136",919,583,823,507,"5,468","1,043",239,855,"2,197","1,133",684,403,869,908,345,534,"2,570","1,179",502,"1,805","1,085","2,521","4,486","1,104",813,891,"2,973","41,833","1,371",288,827,"1,713","2,811",336,"1,504",859,550,"1,229","1,115","1,433","6,550","1,499",875,910,"1,243",601,"7,953",981,"8,798",593,"1,808","1,352",924,"1,010","16,401",0,481,150,"1,810","1,099","1,724","1,628","10,054",224,"2,143","1,604",700,829,"7,016","3,401","1,075","2,480","1,628",674,"1,815",547,"2,430","1,777",510,"3,334",290,210,"1,657",673,537,"3,464","1,891","3,755","1,908",358,437,"2,620",553,"1,055","1,284",822,"5,212","1,626",777,513,774,455,0,412,303,"3,456",195,"1,954","52,305",0,568,857,271,190,"6,435","136,190",456,"6,561","34,679",150,241,518,"34,640",516,"13,577","2,956","14,153","4,151","10,096",520,"7,145","1,115",927,895,140,"1,113","11,305","1,682"
5915046,"    North Vancouver, DM",236,478,58,55,78,"1,214",79,298,190,622,555,300,3,151,"2,090",650,355,45,13,644,"1,716",128,456,293,285,951,8,83,90,"3,230",11,"1,935",785,230,626,60,"7,974",198,"5,859",854,370,"1,775",685,732,217,359,"1,382","2,149",419,452,"8,791",426,"1,343",56,666,"2,395",184,390,"2,315",426,"5,060",180,232,"2,652",262,596,150,70,285,50,29,139,13,"1,075",424,689,442,112,424,693,135,9,"1,839",71,178,239,200,160,121,70,535,"2,499",691,"2,134",709,"1,692",75,0,920,295,218,"1,954","1,418",540,235,179,394,217,352,260,"11,651",582,"1,030",695,"7,545",174,543,130,9,"2,191",235,263,100,922,157,235,135,384,318,"6,750",796,"16,495","2,010",403,"5,057",378,721,"1,757",609,568,260,165,"1,407","40,633","1,276",318,"1,454","4,777",940,"1,033",642,308,50,"4,514","2,496",9,735,719,"31,105",256,534,903,"5,179","1,130",709,385,"12,199","1,086",533,155,"2,834","2,282",535,"6,854",310,749,176,"1,143",0,"1,005",554,"31,175",294,356,441,"1,270",471,"1,890","1,143","3,015","2,923",268,"4,410",130,"1,319",650,170,859,382,"1,996",224,255,"23,977","4,418","4,092","6,480",76,200,85,"8,256",165,"1,048","2,460",624,270,"2,405",170,"5,104",798,"1,581",0,"2,232",163,593,776,851,"1,440","5,641",304,"3,150",2,"2,050",205,241,0,298,"2,435",934,30,"4,400",440,0,625,20,"1,600",630,"2,230","50,466","4,650",172,"1,169",254,0,310,300,60,"67,572",850,880,606,535,129,2,514,421
5915070,"    Pitt Meadows, DM",206,22,10,50,"2,101",0,325,60,25,"16,433",1,0,0,0,132,"13,331",0,"4,595",180,850,0,4,0,20,"3,025",505,730,50,"1,856","1,881","1,122","1,030",302,"1,004",0,0,1,335,79,0,69,155,"4,119",10,150,26,43,690,300,14,1,0,0,22,684,0,0,10,100,6,115,585,100,511,10,45,"4,270",44,0,9,"4,080",0,141,157,731,413,315,3,"5,288",32,162,10,68,782,460,335,26,175,0,"5,038","8,315",0,43,0,25,15,22,217,0,50,760,"4,795",0,270,"4,660",477,240,26,987,71,278,40,476,"3,000",260,6,260,"4,009",652,"7,576",5,10,0,"1,304",0,0,523,15,89,0,"9,614",81,269,58,713,13,3,"1,050",30,0,62,210,500,0,36,25,55,"12,351",16,180,"3,100","14,234",175,"5,567","1,232",33,20,425,865,93,30,"1,992",203,22,"2,037",282,"1,599",50,0,150,220,"7,765",70,20,150,10,151,0,110,"1,000",0,0,"1,475",561,37,"2,956",0,"1,253",50,396,881,"22,223",0,20,62,560,60,110,503,770,861,141,25,85,466,990,"1,430",289,220,535,403,0,225,245,85,0,0,"15,184",75,"13,015","13,158","1,228",0,0,12,"5,629",137,375,0,220,0,350,88,428,416,200,481,625,661,480,111,57,"1,220",100,669,"2,020","1,200","1,201",101,"2,005",265,195,"1,540",718,"1,200","4,405",80,6,451,"8,672",75,66,0,93,239
5915039,"    Port Coquitlam, C",175,116,"1,821",314,"2,179","1,128",18,113,404,"2,779","3,507",0,48,0,"1,716","2,459",95,"1,198",45,"5,761",25,138,230,"2,168",175,72,"1,820",20,21,833,"4,829",20,0,30,"1,035","1,807","1,134",30,21,"3,095",175,"2,448",584,392,275,856,42,44,370,"1,675",902,35,161,"2,809",300,219,169,"5,772",0,45,208,400,28,568,43,"15,750",336,387,65,"2,930",150,485,502,265,0,30,206,171,175,"2,925",20,"5,563",50,211,172,16,"1,228",15,"2,852",162,192,292,741,"9,252",173,315,55,499,100,"3,040",105,"1,516","4,825","1,675","1,375",205,"1,219","4,500","1,180","1,161",40,"3,330","1,254",955,"2,953",386,651,"1,105","3,136",0,90,9,375,15,29,674,"2,600",8,992,"3,116",94,"2,885",170,594,158,"3,571","2,990","14,502","1,981",87,809,290,526,280,285,435,"1,349","1,021",589,150,"2,535","1,214",555,263,900,0,531,"2,951",312,720,"4,124","1,692","4,650","1,675",399,532,"1,152",112,59,594,973,605,20,482,"1,925",80,"1,553","111,600","3,324","3,797",290,864,"1,600",339,626,"5,039",100,"1,165",751,"8,285","1,043",155,707,"1,981","62,280","1,262",616,"3,179","1,012","18,122",115,"8,709",825,"1,046",23,0,246,850,"2,865","21,636","1,530",320,127,"3,292","3,198",353,331,5,"12,115","2,015","4,788","14,462",85,"1,600","7,919","2,590",225,147,801,567,"4,037",227,782,347,663,210,94,10,2,42,"1,468",670,494,"1,207",15,211,357,"2,750",201,250,"2,642","2,682",102,"1,132",62,"13,563","2,233",455,312,895,422,"2,824","4,143",35,146
5915043,"    Port Moody, C",0,0,20,20,11,57,10,0,550,0,0,0,74,33,"2,327",61,328,34,231,0,164,200,"1,387","1,630",11,0,19,4,70,479,69,12,15,68,7,0,0,3,0,0,61,31,0,50,39,18,124,"9,765",24,5,0,70,969,159,17,5,"9,574",0,63,519,"3,000",0,182,71,64,86,0,128,219,0,9,18,80,399,203,32,76,51,301,63,0,134,127,103,24,36,60,0,38,31,19,266,0,34,63,0,0,142,13,16,15,221,159,68,66,68,78,8,115,15,304,20,129,93,7,0,0,5,47,71,"2,741",53,0,209,6,42,4,4,0,165,40,62,43,0,1,747,14,878,198,289,85,336,63,"9,880",0,0,38,30,112,212,268,77,284,243,577,338,269,11,143,55,24,71,873,"1,740",12,40,1,273,0,9,693,162,81,"9,200",66,202,302,"1,615",90,389,0,55,0,117,414,414,357,198,88,190,236,"8,219",46,0,5,25,127,275,5,79,314,158,112,438,76,59,850,305,10,0,0,0,92,47,73,114,"6,090",201,164,325,752,218,0,0,885,0,0,0,"1,080",519,41,80,"1,970",191,340,83,122,45,0,42,43,200,"2,000",0,"2,065",204,52,244,83,626,128,405,173,5,316,29,0,119,335,4,0,0,0,0,726
5915015,"    Richmond, C","4,658","1,805",889,"8,639",660,"7,028","7,838","6,037","4,154","7,744","4,500","5,627","20,314","9,476","12,897","5,994","3,702","1,810","6,563","7,346","2,930","4,774","5,172","13,839","15,762","6,201","6,339","5,524","14,166","16,236","6,584","8,311","8,741","11,037","4,307","11,157","5,018","12,276","14,818","7,078","8,018","20,007","6,716","10,088","24,499","99,671","13,909","4,873","2,111","9,326","16,446","86,455","6,310","18,888","25,146","7,875","4,196","9,518","3,252","19,938","6,373","5,566","11,134","30,549","45,888","59,189","15,253","6,664","8,522","17,260","1,499","3,183","6,028","5,463","3,903","1,121","6,220","4,127","4,733","1,172","2,599","4,704","7,792","2,764","6,630","3,398","1,983","13,906","10,691","10,967","12,570","1,671","2,447","34,499","3,290","21,256","2,673","42,349","6,595","2,562","6,498","2,941","7,784","5,138","7,672","2,037","14,943","11,751","1,887","12,646","4,172","8,533","2,137","3,430","3,992","2,642","7,395","5,109","10,051","6,962","2,044","2,440","5,470","3,510","14,433","3,040","6,472","7,835","9,590","5,473","7,078","3,290","6,902","5,653","7,100","5,444","4,265","6,546","1,848","3,311","9,463","8,314","3,769","6,065","11,879","24,965","42,679","6,575","17,848","35,661","19,317","3,071","10,664","34,828","19,582","5,902","7,277","64,256","5,549","49,819","2,029","6,031","3,622","11,692","2,250","5,993",985,"10,116","13,501","4,941","5,542","5,772","5,209","5,407","4,432","3,158","3,271","30,880","8,387","4,724","4,247","5,053","11,724","10,811","9,755","2,402","6,296","18,428","2,727","3,873","3,124","26,900","14,704","7,099","42,785","18,705","25,272","2,486","106,463","9,717","20,290","6,230","3,222","4,284","1,965","3,923","10,319","13,578","9,740","10,354","8,537","5,783","1,984","5,463","4,652","30,398","7,306","14,071","11,524","7,472","3,431","6,737","10,166","65,661","1,876","3,762","17,225","67,879","9,925","1,650","60,566","12,914","11,054","10,651","10,293","17,246","4,135","51,009","5,428","74,882","4,550","45,099","11,847","2,457","5,496","10,064","21,790","3,448","21,444","38,002","3,946","37,232","6,909","58,756","3,981","41,192","18,535","65,366","161,638","4,205","13,332","7,055","8,952","6,748","2,799"
